tipu,esta,muni,dess,ptda,msnm,lati,logi,temp,temp_min,temp_max,hrel,vent,vent_dir,vent_max,prec,prec_mes,prec_int_h,data_ini
soci,c23m145e12,X&agrave;tiva,Ausi&agrave;s March,,100,38.98978905,-0.52885194,"23,1","14,7","23,7","41,0","6,1",ESE,"18,3","0,0","18,0","0,0",23/09/2025 13:55
soci,c23m145e14,X&agrave;tiva,Casa Cuesa,,81,39.00395100,-0.50767800,"26,4","14,6","26,4","39,0","3,3",SSE,"13,0","0,0","35,6","0,0",23/09/2025 13:50
soci,c23m145e07,X&agrave;tiva,Centro,,113,38.98836000,-0.52531100,"23,7","16,1","24,7","40,0","4,2",N,"12,8","0,0","16,0","0,0",23/09/2025 13:55
soci,c23m145e11,X&agrave;tiva,IES Josep de Ribera,,96,38.99138890,-0.51611111,"23,9","16,4","24,4",,"0,0",S,"11,3","0,0","22,6","0,0",23/09/2025 13:55
soci,c24m004e01,Agullent,,,434,38.82130000,-0.54890000,"21,5","15,2","21,5","54,0","0,0",ENE,"19,3","0,0","28,8","0,0",23/09/2025 13:54
soci,c24m042e01,Aielo de Malferit,centre,,289,38.87861100,-0.58722200,"24,7","14,8","24,7","45,0","3,5",NNE,"27,7","0,0","29,0","0,0",23/09/2025 13:50
soci,c24m043e02,Aielo de Rugat,,,266,38.88179600,-0.34402000,"22,1","15,6","22,1",,"5,5",ENE,"20,1","0,0","7,4","0,0",23/09/2025 13:56
soci,c24m043e01,Aielo de Rugat,el Planet,,250,38.88306900,-0.34668900,"23,1","14,9","23,2",,"1,6",E,"20,9","0,0","8,8","0,0",23/09/2025 13:51
soci,c24m006e01,Albaida,IES J. Segrelles,,330,38.83559600,-0.52434900,"23,7","15,0","23,8","51,0","8,0",SE,"16,1","0,0","18,0","0,0",23/09/2025 13:56
soci,c24m003e03,Atzeneta d&prime;Albaida,,,408,38.83198370,-0.49841270,"21,3","14,2","21,4","55,0","6,4",ONO,"24,1","0,0","14,2","0,0",23/09/2025 13:55
soci,c24m003e04,Atzeneta d&prime;Albaida,Ajuntament,,395,38.83587100,-0.49579000,"21,4","15,1","21,8","50,0","9,0",NE,"20,1","0,0",,"0,0",23/09/2025 13:56
